County,City,pop_april_2000,Land area sq mi,density,,,
Santa Clara,Palo Alto,58598,23.88,2454,,,
Los Angeles,Palos Verdes Estates,13340,4.77,2797,,,
Butte,Paradise,26408,18.31,1442,,,
Los Angeles,Paramount,55266,4.73,11684,,,
Fresno,Parlier,11145,2.19,5089,,,
Los Angeles,Pasadena,133936,22.97,5831,,,
San Luis Obispo,Paso Robles,24297,19.12,1271,,,
Stanislaus,Patterson,11606,5.95,1951,,,
Riverside,Perris,36189,31.39,1153,,,
Sonoma,Petaluma,54548,14.38,3793,,,
Los Angeles,Pico Rivera,63428,8.3,7642,,,
Alameda,Piedmont,10952,1.68,6519,,,
Contra Costa,Pinole,19039,5.32,3579,,,
San Luis Obispo,Pismo Beach,8551,3.6,2375,,,
Contra Costa,Pittsburg,56769,17.22,3297,,,
Orange,Placentia,46488,6.57,7076,,,
El Dorado,Placerville,9610,5.81,1654,,,
Contra Costa,Pleasant Hill,32837,7.07,4645,,,
Alameda,Pleasanton,63654,24.11,2640,,,
Amador,Plymouth,980,0.93,1054,,,
Mendocino,Point Arena,474,1.35,351,,,
Los Angeles,Pomona,149473,22.95,6513,,,
Ventura,Port Hueneme,21845,4.45,4909,,,
Tulare,Porterville,39615,17.61,2250,,,
Plumas,Portola,2227,5.41,412,,,
San Mateo,Portola Valley,4462,9.09,491,,,
San Diego,Poway,48044,39.08,1229,,,
San Bernardino,Rancho Cucamonga,127743,39.85,3206,,,
Riverside,Rancho Mirage,13249,24.45,542,,,
Los Angeles,Rancho Palos Verdes,41145,13.46,3057,,,
Tehama,Red Bluff,13147,7.56,1739,,,
Shasta,Redding,80865,59.65,1356,,,
San Bernardino,Redlands,63591,36.13,1760,,,
Los Angeles,Redondo Beach,63261,6.2,10203,,,
San Mateo,Redwood City,75402,19.42,3883,,,
Fresno,Reedley,20756,5.08,4086,,,
San Bernardino,Rialto,91873,22.35,4111,,,
Contra Costa,Richmond,99216,30.07,3300,,,
Kern,Ridgecrest,24927,20.77,1200,,,
Humboldt,Rio Dell,3174,2.28,1392,,,
Solano,Rio Vista,4571,6.69,683,,,
